Date,Open,High,Low,Close
2018-01-01,1.05091,1.05199,1.04901,1.05084
2018-01-02,1.05043,1.05479,1.04919,1.05377
2018-01-03,1.05818,1.06034,1.05564,1.05901
2018-01-04,1.06305,1.06625,1.05972,1.05985
2018-01-05,1.05649,1.06099,1.0547,1.06004
2018-01-08,1.06465,1.06713,1.062,1.06386
2018-01-09,1.06052,1.0653,1.05757,1.06033
2018-01-10,1.05702,1.05969,1.05549,1.05873
2018-01-11,1.05865,1.06037,1.05661,1.05898
2018-01-12,1.05399,1.05757,1.04984,1.05164
2018-01-15,1.0545,1.05863,1.05165,1.05687
2018-01-16,1.05623,1.05917,1.05409,1.05526
2018-01-17,1.05702,1.06183,1.05488,1.06181
2018-01-18,1.06486,1.06697,1.06027,1.0606
2018-01-19,1.06371,1.06856,1.06112,1.06554
2018-01-22,1.06177,1.06612,1.05809,1.06411
2018-01-23,1.06195,1.06514,1.05809,1.06386
2018-01-24,1.06323,1.06492,1.06147,1.06309
2018-01-25,1.06591,1.07083,1.06242,1.06853
2018-01-26,1.06661,1.07053,1.06309,1.06609
2018-01-29,1.06371,1.06587,1.06214,1.0647
2018-01-30,1.06012,1.0648,1.05849,1.06093
2018-01-31,1.06278,1.06709,1.06175,1.06382
2018-02-01,1.05932,1.06313,1.05641,1.06057
2018-02-02,1.05628,1.05967,1.05278,1.05403
2018-02-05,1.05527,1.05918,1.05113,1.0574
2018-02-06,1.05884,1.06132,1.05489,1.05756
2018-02-07,1.05379,1.05508,1.05249,1.0529
2018-02-08,1.05249,1.05571,1.05135,1.05298
2018-02-09,1.05756,1.05899,1.05262,1.05698
2018-02-12,1.0617,1.06551,1.05743,1.06393
2018-02-13,1.06828,1.07146,1.06651,1.06778
2018-02-14,1.06842,1.07104,1.06601,1.06802
2018-02-15,1.06574,1.06789,1.06293,1.0643
2018-02-16,1.0602,1.06403,1.05866,1.0604
2018-02-19,1.05683,1.05892,1.053,1.05348
2018-02-20,1.0522,1.05707,1.04792,1.05267
2018-02-21,1.05028,1.05524,1.04722,1.05153
2018-02-22,1.04816,1.05108,1.04713,1.04755
2018-02-23,1.04364,1.046,1.04114,1.04207
2018-02-26,1.04266,1.04459,1.03979,1.04388
2018-02-27,1.04195,1.04337,1.03701,1.03994
2018-02-28,1.03908,1.04207,1.03493,1.03535
2018-03-01,1.03641,1.04043,1.03476,1.03566
2018-03-02,1.03271,1.03569,1.03027,1.03169
2018-03-05,1.03166,1.03474,1.02835,1.03236
2018-03-06,1.0283,1.03083,1.02385,1.02605
2018-03-07,1.02358,1.02496,1.01983,1.02326
2018-03-08,1.02528,1.02948,1.02371,1.02823
2018-03-09,1.03154,1.03284,1.02744,1.02875
2018-03-12,1.03223,1.03645,1.02769,1.03624
2018-03-13,1.03744,1.0387,1.03399,1.03792
2018-03-14,1.04123,1.0442,1.03863,1.04172
2018-03-15,1.04054,1.04231,1.0379,1.04146
2018-03-16,1.03663,1.03924,1.03212,1.03864
2018-03-19,1.03694,1.04069,1.03392,1.03939
2018-03-20,1.04408,1.0471,1.03922,1.04231
2018-03-21,1.04605,1.04965,1.04465,1.04851
2018-03-22,1.04895,1.04999,1.04455,1.04572
2018-03-23,1.05022,1.0545,1.04526,1.04929
2018-03-26,1.05347,1.05627,1.05024,1.05413
2018-03-27,1.05442,1.05795,1.05319,1.05655
2018-03-28,1.05648,1.06095,1.05338,1.05404
2018-03-29,1.05691,1.05926,1.05279,1.05581
2018-03-30,1.05991,1.06353,1.0587,1.05957
2018-04-02,1.05517,1.05937,1.05048,1.05487
2018-04-03,1.05983,1.0642,1.0554,1.05732
2018-04-04,1.05312,1.05498,1.05077,1.0537
